Text,Lable
Good prices.,Review
Check it out.,Review
It was pretty gross!,Review
I've had better atmosphere.,Review
Kind of hard to mess up a steak but they did.,Review
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",Review
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,Review
"Worst service to boot, but that is the least of their worries.",Review
Service was fine and the waitress was friendly.,Review
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",Review
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",Review
"Host staff were, for lack of a better word, BITCHES!",Review
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,Review
"Phenomenal food, service and ambiance.",Review
I wouldn't return.,Review
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",Review
This place is way too overpriced for mediocre food.,Review
Penne vodka excellent!,Review
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",Review
The management is rude.,Review
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",Review
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",Review
I had a seriously solid breakfast here.,Review
This is one of the best bars with food in Vegas.,Review
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",Review
My drink was never empty and he made some really great menu suggestions.,Review
Don't do it!!!!,Review
The waiter wasn't helpful or friendly and rarely checked on us.,Review
My husband and I ate lunch here and were very disappointed with the food and service.,Review
And the red curry had so much bamboo shoots and wasn't very tasty to me.,Review
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,Review
The bathrooms are clean and the place itself is well decorated.,Review
"The menu is always changing, food quality is going down & service is extremely slow.",Review
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",Review
I give it 2 thumbs down,Review
We watched our waiter pay a lot more attention to other tables and ignore us.,Review
My fianc̩ and I came in the middle of the day and we were greeted and seated right away.,Review
This is a great restaurant at the Mandalay Bay.,Review
We waited for forty five minutes in vain.,Review
Crostini that came with the salad was stale.,Review
Some highlights : Great quality nigiri here!,Review
the staff is friendly and the joint is always clean.,Review
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,Review
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,Review
this place is good.,Review
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",Review
I came back today since they relocated and still not impressed.,Review
I was seated immediately.,Review
"Their menu is diverse, and reasonably priced.",Review
Avoid at all cost!,Review
Restaurant is always full but never a wait.,Review
DELICIOUS!!,Review
This place is hands-down one of the best places to eat in the Phoenix metro area.,Review
So don't go there if you are looking for good food...,Review
I've never been treated so bad.,Review
Bacon is hella salty.,Review
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",Review
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",Review
The waitresses are very friendly.,Review
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",Review
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,Review
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",Review
The service here leaves a lot to be desired.,Review
"The atmosphere is modern and hip, while maintaining a touch of coziness.",Review
"Not a weekly haunt, but definitely a place to come back to every once in a while.",Review
We literally sat there for 20 minutes with no one asking to take our order.,Review
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",Review
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,Review
I dressed up to be treated so rudely!,Review
It was probably dirt.,Review
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",Review
I ordered the Lemon raspberry ice cocktail which was also incredible.,Review
"The food sucked, which we expected but it sucked more than we could have imagined.",Review
Interesting decor.,Review
What I really like there is the crepe station.,Review
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Review
you can watch them preparing the delicious food!),Review
Both of the egg rolls were fantastic.,Review
"When my order arrived, one of the gyros was missing.",Review
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",Review
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,Review
The best place to go for a tasty bowl of Pho!,Review
The live music on Fridays totally blows.,Review
I've never been more insulted or felt disrespected.,Review
Very friendly staff.,Review
It is worth the drive.,Review
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",Review
Food was great and so was the serivce!,Review
The warm beer didn't help.,Review
Great brunch spot.,Review
Service is friendly and inviting.,Review
Very good lunch spot.,Review
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,Review
The WORST EXPERIENCE EVER.,Review
Must have been an off night at this place.,Review
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",Review
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",Review
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",Review
My friend loved the salmon tartar.,Review
Won't go back.,Review
Extremely Tasty!,Review
Waitress was good though!,Review
Soggy and not good.,Review
The Jamaican mojitos are delicious.,Review
Which are small and not worth the price.,Review
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",Review
The service was a bit lacking.,Review
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",Review
Hopefully this bodes for them going out of business and someone who can cook can come in.,Review
"It was either too cold, not enough flavor or just bad.",Review
I loved the bacon wrapped dates.,Review
This is an unbelievable BARGAIN!,Review
The folks at Otto always make us feel so welcome and special.,Review
"As for the ""mains,"" also uninspired.",Review
This is the place where I first had pho and it was amazing!!,Review
This wonderful experience made this place a must-stop whenever we are in town again.,Review
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",Review
Very very fun chef.,Review
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",Review
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,Review
"If it were possible to give them zero stars, they'd have it.",Review
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",Review
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",Review
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,Review
"Everyone is very attentive, providing excellent customer service.",Review
Horrible - don't waste your time and money.,Review
Now this dish was quite flavourful.,Review
By this time our side of the restaurant was almost empty so there was no excuse.,Review
"(It wasn't busy either) Also, the building was FREEZING cold.",Review
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",Review
-Drinks took close to 30 minutes to come out at one point.,Review
"Seriously flavorful delights, folks.",Review
Much better than the other AYCE sushi place I went to in Vegas.,Review
The lighting is just dark enough to set the mood.,Review
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,Review
Owner's are really great people.!,Review
There is nothing privileged about working/eating there.,Review
The Greek dressing was very creamy and flavorful.,Review
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",Review
Now the pizza itself was good the peanut sauce was very tasty.,Review
We had 7 at our table and the service was pretty fast.,Review
Fantastic service here.,Review
I as well would've given godfathers zero stars if possible.,Review
They know how to make them here.,Review
very tough and very short on flavor!,Review
I hope this place sticks around.,Review
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",Review
The restaurant atmosphere was exquisite.,Review
"Good service, very clean, and inexpensive, to boot!",Review
The seafood was fresh and generous in portion.,Review
"Plus, it's only 8 bucks.",Review
"The service was not up to par, either.",Review
"Thus far, have only visited twice and the food was absolutely delicious each time.",Review
Just as good as when I had it more than a year ago!,Review
"For a self proclaimed coffee cafe, I was wildly disappointed.",Review
The Veggitarian platter is out of this world!,Review
You cant go wrong with any of the food here.,Review
You can't beat that.,Review
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",Review
The chefs were friendly and did a good job.,Review
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",Review
I liked the patio and the service was outstanding.,Review
The goat taco didn't skimp on the meat and wow what FLAVOR!,Review
I think not again,Review
I had the mac salad and it was pretty bland so I will not be getting that again.,Review
I went to Bachi Burger on a friend's recommendation and was not disappointed.,Review
Service stinks here!,Review
I waited and waited.,Review
"This place is not quality sushi, it is not a quality restaurant.",Review
I would definitely recommend the wings as well as the pizza.,Review
Great Pizza and Salads!,Review
Things that went wrong: - They burned the saganaki.,Review
We waited an hour for what was a breakfast I could have done 100 times better at home.,Review
This place is amazing!,Review
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",Review
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,Review
Just don't know why they were so slow.,Review
"The staff is great, the food is delish, and they have an incredible beer selection.",Review
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",Review
I didn't know pulled pork could be soooo delicious.,Review
"You get incredibly fresh fish, prepared with care.",Review
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,Review
I love the fact that everything on their menu is worth it.,Review
Never again will I be dining at this place!,Review
The food was excellent and service was very good.,Review
Good beer & drink selection and good food selection.,Review
Please stay away from the shrimp stir fried noodles.,Review
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,Review
Food was really boring.,Review
Good Service-check!,Review
This greedy corporation will NEVER see another dime from me!,Review
"Will never, ever go back.",Review
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",Review
"In the summer, you can dine in a charming outdoor patio - so very delightful.",Review
I did not expect this to be so good!,Review
Fantastic food!,Review
She ordered a toasted English muffin that came out untoasted.,Review
The food was very good.,Review
Never going back.,Review
"Great food for the price, which is very high quality and house made.",Review
The bus boy on the other hand was so rude.,Review
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",Review
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",Review
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",Review
All the bread is made in-house!,Review
The only downside is the service.,Review
"Also, the fries are without a doubt the worst fries I've ever had.",Review
Service was exceptional and food was a good as all the reviews.,Review
"A couple of months later, I returned and had an amazing meal.",Review
Favorite place in town for shawarrrrrrma!!!!!!,Review
The black eyed peas and sweet potatoes... UNREAL!,Review
You won't be disappointed.,Review
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",Review
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",Review
When my mom and I got home she immediately got sick and she only had a few bites of salad.,Review
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,Review
"Both of them were truly unbelievably good, and I am so glad we went back.",Review
"We had fantastic service, and were pleased by the atmosphere.",Review
Everything was gross.,Review
I love this place.,Review
Great service and food.,Review
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,Review
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",Review
"OMG, the food was delicioso!",Review
There is nothing authentic about this place.,Review
the spaghetti is nothing special whatsoever.,Review
"Of all the dishes, the salmon was the best, but all were great.",Review
The vegetables are so fresh and the sauce feels like authentic Thai.,Review
It's worth driving up from Tucson!,Review
The selection was probably the worst I've seen in Vegas.....there was none.,Review
Pretty good beer selection too.,Review
"This place is like Chipotle, but BETTER.",Review
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",Review
5 stars for the brick oven bread app!,Review
"I have eaten here multiple times, and each time the food was delicious.",Review
We sat another ten minutes and finally gave up and left.,Review
He was terrible!,Review
Everyone is treated equally special.,Review
It shouldn't take 30 min for pancakes and eggs.,Review
It was delicious!!!,Review
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",Review
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",Review
As always the evening was wonderful and the food delicious!,Review
Best fish I've ever had in my life!,Review
(The bathroom is just next door and very nice.),Review
The buffet is small and all the food they offered was BLAND.,Review
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,Review
Pretty cool I would say.,Review
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,Review
Server did a great job handling our large rowdy table.,Review
"I find wasting food to be despicable, but this just wasn't food.",Review
My wife had the Lobster Bisque soup which was lukewarm.,Review
Would come back again if I had a sushi craving while in Vegas.,Review
"The staff are great, the ambiance is great.",Review
He deserves 5 stars.,Review
I left with a stomach ache and felt sick the rest of the day.,Review
They dropped more than the ball.,Review
"The dining space is tiny, but elegantly decorated and comfortable.",Review
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",Review
And the beans and rice were mediocre at best.,Review
Best tacos in town by far!!,Review
I took back my money and got outta there.,Review
"In an interesting part of town, this place is amazing.",Review
RUDE & INCONSIDERATE MANAGEMENT.,Review
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",Review
I won't be back.,Review
They have great dinners.,Review
The service was outshining & I definitely recommend the Halibut.,Review
The food was terrible.,Review
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,Review
I don't recommend unless your car breaks down in front of it and you are starving.,Review
I will come back here every time I'm in Vegas.,Review
This place deserves one star and 90% has to do with the food.,Review
This is a disgrace.,Review
Def coming back to bowl next time,Review
"If you want healthy authentic or ethic food, try this place.",Review
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,Review
"I have been here several times in the past, and the experience has always been great.",Review
We walked away stuffed and happy about our first Vegas buffet experience.,Review
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,Review
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",Review
I'm probably one of the few people to ever go to Ians and not like it.,Review
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,Review
Service is perfect and the family atmosphere is nice to see.,Review
Cooked to perfection and the service was impeccable.,Review
This one is simply a disappointment.,Review
"Overall, I was very disappointed with the quality of food at Bouchon.",Review
I don't have to be an accountant to know I'm getting screwed!,Review
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",Review
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,Review
Left very frustrated.,Review
I'll definitely be in soon again.,Review
Food was really good and I got full petty fast.,Review
Service was fantastic.,Review
TOTAL WASTE OF TIME.,Review
I don't know what kind it is but they have the best iced tea.,Review
"Come hungry, leave happy and stuffed!",Review
"For service, I give them no stars.",Review
I can assure you that you won't be disappointed.,Review
I can take a little bad service but the food sucks.,Review
Gave up trying to eat any of the crust (teeth still sore).,Review
But now I was completely grossed out.,Review
I really enjoyed eating here.,Review
First time going but I think I will quickly become a regular.,Review
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",Review
From what my dinner companions told me...everything was very fresh with nice texture and taste.,Review
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",Review
"Furthermore, you can't even find hours of operation on the website!",Review
We've tried to like this place but after 10+ times I think we're done with them.,Review
What a mistake that was!,Review
No complaints!,Review
This is some seriously good pizza and I'm an expert/connisseur on the topic.,Review
Waiter was a jerk.,Review
"Strike 2, who wants to be rushed.",Review
These are the nicest restaurant owners I've ever come across.,Review
I never come again.,Review
We loved the biscuits!!!,Review
Service is quick and friendly.,Review
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,Review
So absolutley fantastic.,Review
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,Review
definitely will come back here again.,Review
I like Steiners because it's dark and it feels like a bar.,Review
Wow very spicy but delicious.,Review
"If you're not familiar, check it out.",Review
I'll take my business dinner dollars elsewhere.,Review
I'd love to go back.,Review
